"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Afghanistan","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Afghanistan","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Afghanistan","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","41",""
"Afghanistan","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Afghanistan","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Afghanistan","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Afghanistan","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","41",""
"Albania","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","79",""
"Albania","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Albania","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Albania","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Albania","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","73",""
"Albania","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Albania","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Albania","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Algeria","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Algeria","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Algeria","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Algeria","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Algeria","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Algeria","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Algeria","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Algeria","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","65",""
"Angola","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","43",""
"Angola","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","43",""
"Angola","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Angola","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","42",""
"Angola","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","39",""
"Angola","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","39",""
"Angola","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","39",""
"Angola","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","38",""
"Argentina","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","78",""
"Argentina","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Argentina","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Argentina","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Argentina","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Argentina","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Argentina","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","69",""
"Argentina","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Armenia","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","75",""
"Armenia","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","74",""
"Armenia","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","72",""
"Armenia","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
"Armenia","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","68",""
"Armenia","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","67",""
"Armenia","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","65",""
"Armenia","Male","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","66",""
"Aruba","Female","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Aruba","Female","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","76",""
"Aruba","Female","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","77",""
"Aruba","Female","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Years","78",""
"Aruba","Male","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Aruba","Male","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Years","70",""
"Aruba","Male","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Years","71",""
