"year","births","deaths","hospital"
1784,1261,11,"Dublin"
1785,1292,8,"Dublin"
1786,1351,8,"Dublin"
1787,1347,10,"Dublin"
1788,1469,23,"Dublin"
1789,1435,25,"Dublin"
1790,1546,12,"Dublin"
1791,1602,25,"Dublin"
1792,1631,10,"Dublin"
1793,1747,19,"Dublin"
1794,1543,20,"Dublin"
1795,1503,7,"Dublin"
1796,1621,10,"Dublin"
1797,1712,13,"Dublin"
1798,1604,8,"Dublin"
1799,1537,10,"Dublin"
1800,1837,18,"Dublin"
1801,1725,30,"Dublin"
1802,1985,26,"Dublin"
1803,2028,44,"Dublin"
1804,1915,16,"Dublin"
1805,2220,12,"Dublin"
1806,2406,23,"Dublin"
1807,2511,12,"Dublin"
1808,2665,13,"Dublin"
1809,2889,21,"Dublin"
1810,2854,29,"Dublin"
1811,2561,24,"Dublin"
1812,2676,43,"Dublin"
1813,2484,62,"Dublin"
1814,2508,25,"Dublin"
1815,3075,17,"Dublin"
1816,3314,18,"Dublin"
1817,3473,32,"Dublin"
1818,3539,56,"Dublin"
1819,3197,94,"Dublin"
1820,2458,70,"Dublin"
1821,2849,22,"Dublin"
1822,2675,12,"Dublin"
1823,2584,59,"Dublin"
1824,2446,20,"Dublin"
1825,2740,26,"Dublin"
1826,2440,81,"Dublin"
1827,2550,33,"Dublin"
1828,2856,43,"Dublin"
1829,2141,34,"Dublin"
1830,2288,12,"Dublin"
1831,2176,12,"Dublin"
1832,2242,12,"Dublin"
1833,2138,12,"Dublin"
1834,2024,34,"Dublin"
1835,1902,34,"Dublin"
1836,1810,36,"Dublin"
1837,1833,24,"Dublin"
1838,2126,45,"Dublin"
1839,1951,25,"Dublin"
1840,1521,26,"Dublin"
1841,2003,23,"Dublin"
1842,2171,21,"Dublin"
1843,2210,22,"Dublin"
1844,2288,14,"Dublin"
1845,1411,35,"Dublin"
1846,2025,17,"Dublin"
1847,1703,47,"Dublin"
1848,1816,35,"Dublin"
1784,284,6,"Vienna"
1785,899,13,"Vienna"
1786,1151,5,"Vienna"
1787,1407,5,"Vienna"
1788,1425,5,"Vienna"
1789,1246,7,"Vienna"
1790,1326,10,"Vienna"
1791,1395,8,"Vienna"
1792,1574,14,"Vienna"
1793,1684,44,"Vienna"
1794,1768,7,"Vienna"
1795,1798,38,"Vienna"
1796,1904,22,"Vienna"
1797,2012,5,"Vienna"
1798,2046,5,"Vienna"
1799,2067,20,"Vienna"
1800,2070,41,"Vienna"
1801,2106,17,"Vienna"
1802,2346,9,"Vienna"
1803,2215,16,"Vienna"
1804,2022,8,"Vienna"
1805,2112,9,"Vienna"
1806,1875,13,"Vienna"
1807,925,6,"Vienna"
1808,855,7,"Vienna"
1809,912,13,"Vienna"
1810,744,6,"Vienna"
1811,1050,20,"Vienna"
1812,1419,9,"Vienna"
1813,1945,21,"Vienna"
1814,2062,66,"Vienna"
1815,2591,19,"Vienna"
1816,2410,12,"Vienna"
1817,2735,25,"Vienna"
1818,2568,56,"Vienna"
1819,3089,154,"Vienna"
1820,2998,75,"Vienna"
1821,3294,55,"Vienna"
1822,3066,26,"Vienna"
1823,2872,214,"Vienna"
1824,2911,144,"Vienna"
1825,2594,229,"Vienna"
1826,2359,192,"Vienna"
1827,2367,51,"Vienna"
1828,2833,101,"Vienna"
1829,3012,140,"Vienna"
1830,2797,111,"Vienna"
1831,3353,222,"Vienna"
1832,3331,105,"Vienna"
1833,3907,205,"Vienna"
1834,4218,355,"Vienna"
1835,4040,227,"Vienna"
1836,4144,331,"Vienna"
1837,4363,375,"Vienna"
1838,4560,179,"Vienna"
1839,4992,248,"Vienna"
1840,5166,328,"Vienna"
1841,5454,330,"Vienna"
1842,6024,730,"Vienna"
1843,5914,457,"Vienna"
1844,6244,336,"Vienna"
1845,6756,313,"Vienna"
1846,7027,567,"Vienna"
1847,7039,210,"Vienna"
1848,7095,91,"Vienna"
